year,data_mean_global,data_mean_nh,data_mean_sh
0,644.990704803968,666.676172965001,623.305236642934
1,653.536008754948,675.227251139405,631.844766370491
2,653.599139865456,675.292815276245,631.905464454667
3,653.63400444347,675.327396177609,631.94061270933
4,653.679022314645,675.372431847132,631.985612782157
5,653.723017803253,675.41644302633,632.029592580177
6,653.772024248189,675.465421888822,632.078626607556
7,653.838013697653,675.531424698188,632.144602697119
8,653.867022560189,675.560451082892,632.173594037486
9,653.92902316949,675.622409397047,632.235636941933
10,653.993012280967,675.686434849653,632.299589712282
11,654.022022539516,675.715436249067,632.328608829964
12,654.059018508771,675.752450108461,632.365586909081
13,654.121027463233,675.814403803958,632.427651122507
14,654.193006895189,675.886436101904,632.499577688473
15,654.215031752133,675.908440640529,632.521622863736
16,654.29701450173,675.990409647398,632.603619356063
17,654.349021396867,676.042437335466,632.655605458269
18,654.418025238474,676.11141341184,632.724637065107
19,654.507016736925,676.200411853412,632.813621620437
20,654.578023297368,676.27141969344,632.884626901296
21,654.659021002743,676.352416155089,632.965625850398
22,654.753025831493,676.446402101941,633.059649561044
23,654.862018656322,676.555402475782,633.168634836862
24,654.968029262444,676.661398156861,633.274660368027
25,655.106020321633,676.799381792711,633.412658850555
26,655.236024337666,676.929386084923,633.542662590408
27,655.357017393727,677.050396957272,633.663637830182
28,655.461027423603,677.154399385137,633.767655462068
29,655.57501545142,677.268399670451,633.881631232389
30,655.674030542684,677.36740099397,633.980660091398
31,655.790009182081,677.483396391779,634.096621972384
32,655.856030597149,677.549428042267,634.162633152031
33,655.962018346359,677.655394506574,634.268642186143
34,656.060024068086,677.753408276257,634.366639859915
35,656.170023702304,677.863396263533,634.476651141076
36,656.289021366639,677.982392203262,634.595650530016
37,656.397020306748,678.090402181875,634.703638431621
38,656.501026326415,678.19440191911,634.807650733719
39,656.623020186046,678.316389554243,634.92965081785
40,656.738024187682,678.431396929329,635.044651446035
41,656.852018688915,678.545396384404,635.158640993426
42,656.956026762162,678.649402936768,635.262650587556
43,657.06901492103,678.762394616092,635.375635225967
44,657.158028552746,678.851414557212,635.46464254828
45,657.264012886903,678.957394692705,635.570631081101
46,657.333025459687,679.026430085601,635.639620833774
47,657.428026013885,679.121401505927,635.734650521844
48,657.551020760889,679.244388211698,635.85765331008
49,657.66602254662,679.359397900106,635.972647193134
50,657.777021500451,679.470397833442,636.083645167461
51,657.886023524922,679.579399681848,636.192647367995
52,657.997019580046,679.690396342954,636.303642817137
53,658.094022688652,679.787409907178,636.400635470125
54,658.213034019676,679.906392653623,636.51967538573
55,658.374010014563,680.067359463677,636.680660565449
56,658.490038617951,680.183412651079,636.796664584823
57,658.657010032008,680.350347088989,636.963672975028
