year,data_mean_global
0,644.9907048
1,653.5360088
2,653.5991399
3,653.6340044
4,653.6790223
5,653.7230178
6,653.7720242
7,653.8380137
8,653.8670226
9,653.9290232
10,653.9930123
11,654.0220225
12,654.0590185
13,654.1210275
14,654.1930069
15,654.2150318
16,654.2970145
17,654.3490214
18,654.4180252
19,654.5070167
20,654.5780233
21,654.659021
22,654.7530258
23,654.8620187
24,654.9680293
25,655.1060203
26,655.2360243
27,655.3570174
28,655.4610274
29,655.5750155
30,655.6740305
31,655.7900092
32,655.8560306
33,655.9620183
34,656.0600241
35,656.1700237
36,656.2890214
37,656.3970203
38,656.5010263
39,656.6230202
40,656.7380242
41,656.8520187
42,656.9560268
43,657.0690149
44,657.1580286
45,657.2640129
46,657.3330255
47,657.428026
48,657.5510208
49,657.6660225
50,657.7770215
51,657.8860235
52,657.9970196
53,658.0940227
54,658.213034
55,658.37401
56,658.4900386
57,658.65701
58,658.7700293
59,658.89802
60,659.0230255
61,659.1550218
62,659.285024
63,659.3819989
64,659.3910468
65,659.530015
66,659.6660293
67,659.8000106
68,659.8910362
69,660.0330106
70,660.1360345
71,660.2890209
72,660.4270126
73,660.461998
74,660.4370716
75,660.677995
76,660.7780149
77,660.798031
78,660.9030215
79,661.0070155
80,661.1140584
81,661.385989
82,661.4700373
83,661.5880144
84,661.6900217
85,661.7640166
86,661.82102
87,661.8830301
88,661.9930067
89,662.0320363
90,662.1470083
91,662.2070321
92,662.3080081
93,662.3460247
94,662.4020211
95,662.4810223
96,662.5650224
97,662.6610209
98,662.7510219
99,662.8450213
100,662.9330169
101,662.9930218
102,663.0710237
103,663.1560175
104,663.2340268
105,663.3360164
106,663.4070206
107,663.4800246
108,663.5820223
109,663.6760144
110,663.7280208
111,663.7860227
112,663.8620196
113,663.9240162
114,663.9690227
115,664.0260182
116,664.0820226
117,664.1480188
118,664.215023
119,664.2850151
120,664.3320212
121,664.3700145
122,664.4130348
123,664.5270068
124,664.4949835
125,664.3140362
126,664.2269976
127,664.1100274
128,664.0189965
129,663.9520653
130,664.0569636
131,663.8940243
132,663.7910349
133,663.8420177
134,663.8129697
135,663.583044
136,663.4759914
137,663.3570535
138,663.4690282
139,663.5779761
140,663.4560316
141,663.4090199
142,663.3940068
143,663.3670394
144,663.410991
145,663.386056
146,663.5179999
147,663.5560147
148,663.5350162
149,663.5520419
150,663.6710008
151,663.6820117
152,663.604999
153,663.4760345
154,663.4520094
155,663.4240212
156,663.4130162
157,663.3870043
158,663.3180325
159,663.3230046
160,663.2690106
161,663.1860242
162,663.1740236
163,663.1900018
164,663.1440342
165,663.1519921
166,663.0800457
167,663.1169893
168,663.0620432
169,663.0909903
170,663.0510568
171,663.1789971
172,663.2030138
173,663.1850394
174,663.2920067
175,663.3350242
176,663.3710083
177,663.3670271
178,663.403015
179,663.426015
180,663.429026
181,663.489024
182,663.5880265
183,663.7090157
184,663.8060349
185,663.9770247
186,664.1530173
187,664.2700206
188,664.3710228
189,664.4810255
190,664.6080189
191,664.7160268
192,664.8540279
193,665.0240233
194,665.1890294
195,665.3710136
196,665.4930378
197,665.6880093
198,665.794032
199,665.9440175
200,666.077045
201,666.2990108
202,666.4500319
203,666.6270162
204,666.7410237
205,666.8970364
206,667.0750075
207,667.2100439
208,667.3960002
209,667.4880433
210,667.6800231
211,667.8930339
212,668.1160179
213,668.3280426
214,668.580002
215,668.6770227
216,668.8020416
217,669.0000099
218,669.1570454
219,669.4140222
220,669.6360177
221,669.7820235
222,669.9780544
223,670.2900038
224,670.4630254
225,670.6350387
226,670.8970318
227,671.1630142
228,671.3250149
229,671.4250259
230,671.5360214
231,671.6660341
232,671.8510225
233,672.0370294
234,672.2230162
235,672.365026
236,672.4890124
237,672.5860382
238,672.7480142
239,672.8800295
240,673.0200149
241,673.1270271
242,673.2420165
243,673.3340245
244,673.4360217
245,673.5420231
246,673.6550235
247,673.7720206
248,673.8810238
249,673.9930202
250,674.0930205
251,674.173015
252,674.2250242
253,674.2920177
254,674.3630286
255,674.4580089
256,674.4740087
257,674.4480341
258,674.493003
259,674.474023
260,674.4710176
261,674.4790157
262,674.4770196
263,674.479012
264,674.4580201
265,674.4360053
266,674.3600179
267,674.2980177
268,674.2610145
269,674.2140117
270,674.144014
271,674.0610083
272,674.0080591
273,674.0088623
274,673.1700115
275,672.3159591
276,671.4690021
277,670.6639348
278,669.8731708
279,670.121967
280,670.2790585
281,670.5070079
282,670.7710726
283,670.9717746
284,669.7279998
285,668.4469368
286,667.1309085
287,665.8052626
288,666.3679685
289,666.8340834
290,667.4109968
291,667.8900817
292,668.4118756
293,667.9900158
294,667.5289771
295,667.0770135
296,666.6979816
297,666.2729914
298,665.8059877
299,665.3349887
300,664.8930408
301,664.793014
302,664.7139899
303,664.5970114
304,664.3789704
305,664.20311
306,664.5950027
307,664.9570385
308,665.2880079
309,665.6550705
310,666.0609293
311,665.9500294
312,665.8519916
313,665.7390315
314,665.7099883
315,665.6010183
316,665.4959915
317,665.3700282
318,665.2679645
319,664.9960357
320,664.9080115
321,664.8590033
322,664.7840147
323,664.7380094
324,664.6910103
325,664.6610166
326,664.629996
327,664.5630313
328,664.5679922
329,664.5010252
330,664.5100197
331,664.5930265
332,664.7040011
333,664.7450326
334,664.9370466
335,665.0668949
336,664.5540207
337,664.0949941
338,663.6409723
339,663.1630465
340,662.9469855
341,662.7230217
342,662.550987
343,662.3200149
344,662.1249958
345,661.9140113
346,661.7269972
347,661.5300138
348,661.3369767
349,661.0380235
350,660.8810236
351,660.8009729
352,660.5910394
353,660.4929718
354,660.257015
355,660.0249855
356,659.7520192
357,659.564998
358,659.275935
359,658.6199909
360,657.9069534
361,657.085985
362,656.2459428
363,655.5321705
364,655.7979458
365,655.940082
366,656.1959265
367,656.0340314
368,655.8719805
369,655.6550142
370,655.4860124
371,655.3449671
372,655.0950829
373,655.1078657
374,654.3850087
375,653.6920093
376,653.2319625
377,652.6219932
